IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,IMF1-13,IMF1-R
0.02906362,-0.033209626,-0.118004814,-0.05908806,-0.148133,0.5445112,-1.6141821,-0.45874768,-0.009580307,0.6069184,-0.38295907,-0.303093,0.51903343,1.9460932,0.518622193,-1.427471007
0.15366846,-0.03155622,-0.09106036,0.023210377,-0.31951562,0.5593026,-1.6183107,-0.473187,-0.016179154,0.6059788,-0.3842931,-0.30313614,0.5193255,1.9460709,0.570318343,-1.375752557
-0.009388959,-0.003843643,0.010255366,0.040634934,-0.45469522,0.5630987,-1.6169652,-0.48685697,-0.022639466,0.60492605,-0.3856174,-0.30317733,0.5196179,1.9460486,0.401397362,-1.544651238
-0.122357346,0.012254571,0.023374323,0.028037744,-0.5401586,0.5551816,-1.6100764,-0.49973825,-0.02895462,0.60379153,-0.38693208,-0.3032167,0.51991063,1.9460263,0.197142702,-1.748883598
0.088174745,-0.023365773,0.053679585,0.023313308,-0.57804435,0.5350954,-1.5975735,-0.51181114,-0.0351191,0.6025765,-0.38823718,-0.30325407,0.5202037,1.9460039,0.331642025,-1.614361875
0.01636841,-0.030223072,-0.07976147,0.000353841,-0.5804907,0.50270253,-1.5793784,-0.5230398,-0.04112778,0.60128134,-0.38953277,-0.3032895,0.5204972,1.9459816,0.060341429,-1.885640171
0.004956956,-0.012782338,-0.063169494,-0.029568143,-0.5522224,0.4587237,-1.555428,-0.5334161,-0.04697582,0.59990764,-0.39081895,-0.3033231,0.52079105,1.9459594,0.042634401,-1.903324999
-0.022163965,0.009454551,-0.009452098,-0.04099807,-0.49149248,0.40590248,-1.5256928,-0.54294115,-0.052659515,0.5984553,-0.39209563,-0.30335468,0.5210852,1.9459372,0.099984343,-1.845952857
-0.04052169,-0.0034551,-0.04820871,-0.00489778,-0.40428555,0.34675413,-1.4900934,-0.5516227,-0.05817471,0.5969257,-0.393363,-0.30338433,0.52137977,1.9459149,0.11296753,-1.83294737
0.107386544,-0.035226632,-0.005947191,0.08180724,-0.30488884,0.28311354,-1.4486221,-0.55946714,-0.06352463,0.5953197,-0.39462104,-0.3034121,0.52167463,1.9458927,0.419484681,-1.526408019
0.059985768,-0.029038163,-0.002400077,0.15743898,-0.19510481,0.2163684,-1.4012885,-0.56648463,-0.06869974,0.5936382,-0.39584032,-0.30343792,0.5219699,1.9458704,0.532977488,-1.412892912
-0.094779834,-0.000407697,-0.003949898,0.15873241,-0.071283266,0.14875494,-1.347953,-0.57268196,-0.07369707,0.5918819,-0.39702016,-0.3034618,0.5222655,1.9458482,0.502248265,-1.443599935
-0.081601486,-0.003487029,0.02107986,0.045932285,0.08240547,0.0822579,-1.2885456,-0.5780666,-0.07851525,0.59005165,-0.39817238,-0.30348372,0.5225615,1.9458259,0.5582425,-1.3875834
0.1781578,-0.024477804,-0.11211616,-0.07890841,0.2503572,0.017672503,-1.2229484,-0.5826441,-0.08315299,0.5881487,-0.39931634,-0.30350372,0.5228578,1.9458036,0.695929679,-1.249873921
-0.1234527,-0.040868156,-0.08208037,-0.107737854,0.39853314,-0.04572426,-1.1512157,-0.5864191,-0.08760923,0.5861736,-0.40045214,-0.30352178,0.52315444,1.9457814,0.52456129,-1.42122011
0.08280166,-0.018577844,-0.035270613,-0.06363078,0.5025239,-0.109821685,-1.0734911,-0.58939546,-0.09188206,0.5841273,-0.40157974,-0.30353788,0.5234515,1.9457592,0.951476398,-0.994282802
0.16395746,0.004806719,0.06832621,-0.004726479,0.55099905,-0.17601499,-0.98987013,-0.5915602,-0.09596999,0.5820109,-0.40269926,-0.30355203,0.5237488,1.945737,1.27519306,-0.67054394
-0.05746525,0.01575579,-0.018286748,0.06076197,0.5467281,-0.25034913,-0.9005802,-0.5929032,-0.09987159,0.5798248,-0.40381074,-0.30356425,0.5240466,1.9457147,1.046000852,-0.899713848
-0.41449162,-0.017643856,-0.10142592,0.14162827,0.5038629,-0.32727632,-0.80564487,-0.5934148,-0.10358545,0.57757056,-0.4049142,-0.30357453,0.5243447,1.9456924,0.621127264,-1.324565136
0.40662116,-0.05803037,-0.09756952,0.20804356,0.4311716,-0.40454254,-0.7050539,-0.5930857,-0.107111126,0.5752485,-0.40601453,-0.30358288,0.5246431,1.9456702,1.416407554,-0.529262646
-0.41032475,-0.000733886,-0.010415795,0.23212773,0.33421242,-0.47868124,-0.5988957,-0.5919152,-0.1104472,0.5728597,-0.40711996,-0.30358922,0.5249419,1.9456481,0.697666899,-1.247981201
