Site,Statistical metrics,R2(%),,,,,,RMSE,,,,,,nRMSE(%),,,,,,MAE,,,,,
,Model/Input component,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6
BE-Lon,LightGBM,0.556520571,0.566734762,0.558562914,0.56556025,0.55429502,0.560019543,4.259459785,4.22927582,4.526595874,4.429061479,4.470105866,4.494138436,0.134668121,0.133713817,0.143113961,0.140030289,0.141327959,0.142087778,2.668361396,2.641201525,2.849340443,2.807877716,2.786610952,2.823478605
,BiLSTM,0.580246705,0.572329283,0.543082355,0.526789328,0.573012572,0.569413255,4.189251129,4.21133305,4.829304907,4.648249594,4.369013299,4.50571207,0.132448387,0.133146534,0.152684483,0.146960194,0.138131791,0.142453693,2.555412985,2.581852415,3.188613324,3.150723534,2.834059385,2.946028814
,StackLSTM,0.523741376,0.576140185,0.554101245,0.56457864,0.601106625,0.569244593,4.303554411,4.114140581,4.730691556,4.50414184,4.152111701,4.289694034,0.136062227,0.130073673,0.149566699,0.142404048,0.131274178,0.135624014,2.867599903,2.53375597,3.054155747,2.864343354,2.589744868,2.803862282
,LSTM,0.517790953,0.577411955,0.600839124,0.543685193,0.587496904,0.623392747,4.436939319,4.198613665,4.403974575,4.605274789,4.172691612,4.353397786,0.140279357,0.132744395,0.139237136,0.145601492,0.131924837,0.137638088,2.973293331,2.578245569,2.726825228,3.060116115,2.682044914,2.740142193
,RF,0.592914881,0.577225192,0.617779427,0.613147937,0.596205292,0.601271138,4.382785504,4.358650257,4.379248209,4.321352671,4.34797145,4.410946225,0.138567217,0.137804151,0.138455381,0.136624941,0.137466527,0.139457553,3.008098152,2.937277931,2.920170361,2.818953514,2.813877806,2.884714325
,SVM,0.065882964,0.079596394,0.213009491,0.231256692,0.229602006,0.293819217,4.491992749,4.531453661,4.665287703,4.589741881,4.680928127,4.680811607,0.14201994,0.143267546,0.147498875,0.1451104,0.147993367,0.147989683,3.537592448,3.576446539,3.671761083,3.58893305,3.656217394,3.601144168
,XGB,0.600089319,0.560061441,0.600933813,0.623768495,0.537085366,0.545508231,4.463689682,4.58068818,4.499879986,4.25173874,4.689006029,4.605117753,0.141125103,0.144824156,0.142269305,0.13442401,0.14824876,0.145596527,3.099025656,3.124296356,3.029044647,3.014691667,3.316012197,3.091484037
BE-Vie,LightGBM,0.848513612,0.862789953,0.853343594,0.830790236,0.826074641,0.824704595,5.767994063,5.556759847,5.676275417,5.860010817,5.889581815,5.891987354,0.104872619,0.101031997,0.103205008,0.106545651,0.107083306,0.107127043,3.99112849,3.723891353,3.832795688,4.016969829,4.035736428,4.037636338
,BiLSTM,0.84163593,0.862452884,0.847919315,0.784280625,0.797264387,0.844005168,5.809831727,5.598493886,5.724988005,6.322656794,6.21580025,5.827771051,0.105633304,0.101790798,0.104090691,0.114957396,0.11301455,0.105959474,4.020959909,3.796088733,3.942188526,4.278977974,4.138200305,3.957693632
,StackLSTM,0.851684661,0.853689271,0.861088718,0.82544058,0.85081751,0.817045595,5.849948617,5.598452213,5.794232785,5.885624385,5.725152309,5.970486235,0.106362702,0.10179004,0.105349687,0.107011352,0.104093678,0.108554295,3.965036121,3.728216508,3.970391186,4.016489067,3.805439954,4.123606481
,LSTM,0.83595823,0.84261148,0.861281629,0.849013064,0.832450522,0.798462045,5.929923847,5.762615312,5.590195892,5.728925593,5.795803122,6.226653192,0.107816797,0.104774824,0.101639925,0.104162284,0.105378239,0.113211876,4.071119514,3.846925663,3.671076416,3.812296788,3.928930088,4.159086747
,RF,0.835740571,0.853945719,0.843052818,0.808872839,0.810800995,0.807550948,6.162439544,5.904388771,6.059801306,6.360011009,6.361262542,6.385874544,0.112044355,0.107352523,0.110178206,0.115636564,0.115659319,0.11610681,4.356794135,4.020260616,4.196831283,4.418959054,4.421411218,4.449157748
,SVM,0.781060132,0.798002549,0.791867547,0.773891473,0.77656211,0.782597383,6.232224472,6.033511715,6.10037775,6.328847531,6.292081119,6.303813209,0.113313172,0.109700213,0.110915959,0.115069955,0.114401475,0.114614786,4.64276535,4.35670685,4.353220652,4.518490213,4.427589295,4.454065307
,XGB,0.833522058,0.849194959,0.84935494,0.799387519,0.773936405,0.765084859,6.291237602,6.046979096,5.972155572,6.774598375,6.986182573,7.204396797,0.114386138,0.109945074,0.108584647,0.123174516,0.127021501,0.130989033,4.445234444,4.230463398,4.251477533,4.771225335,4.845395443,5.066756335
DE-Lnf,LightGBM,0.860234902,0.872775837,0.867114266,0.86756171,0.866061635,0.861032748,3.467337903,3.265640834,3.378653442,3.373996241,3.486667186,3.605521619,0.105733753,0.099583159,0.10302939,0.102887372,0.106323184,0.109947557,2.333362822,2.034056723,2.178743931,2.240171773,2.322972443,2.485744863
,BiLSTM,0.866076867,0.885853664,0.837949611,0.877262393,0.852875542,0.854419153,3.441678028,3.082638633,3.871938106,3.241863054,3.713090564,3.713752887,0.104951275,0.09400265,0.118071719,0.098858074,0.113227788,0.113247985,2.211219153,1.880109966,2.860208891,1.941191099,2.612589528,2.600025878
,StackLSTM,0.867136414,0.878623466,0.881818203,0.879750785,0.873980969,0.855991823,3.408475034,3.230412324,3.231034291,3.32768734,3.339511328,3.711565177,0.103938776,0.098508893,0.09852786,0.101475219,0.101835782,0.113181272,2.195662125,2.022226747,1.964271973,2.025264774,2.115294893,2.745840428
,LSTM,0.872035126,0.882665616,0.875905957,0.845208051,0.86037282,0.850409384,3.31135115,3.263038526,3.338308502,3.792290607,3.512463745,3.98492809,0.100977059,0.099503804,0.101799103,0.115642931,0.10710983,0.12151726,2.131749582,1.976072741,2.170245391,2.745089213,2.362654781,2.8016969
,RF,0.856224733,0.842559775,0.852068624,0.852773987,0.85719394,0.858203413,3.639746403,3.755670159,3.676147468,3.681983852,3.688026831,3.732459653,0.110991215,0.114526219,0.112101237,0.112279213,0.112463489,0.113818433,2.645797659,2.683888698,2.660698854,2.625950128,2.596962069,2.640867064
,SVM,0.71501356,0.747999795,0.768419726,0.76374198,0.779032582,0.764151106,4.079113403,3.746593689,3.769795943,3.816921056,3.852124267,3.995826855,0.124389368,0.11424944,0.114956974,0.116394018,0.117467512,0.12184961,3.251127436,2.793389907,2.874234372,2.919358511,2.926769817,3.065454742
,XGB,0.832318103,0.847358948,0.83729882,0.858768971,0.83252601,0.816757607,4.002980489,3.8000097,3.940450097,3.679099697,4.00960582,4.285116879,0.122067754,0.115878319,0.120160939,0.112191263,0.122269788,0.130671282,2.932943091,2.745134651,2.863704474,2.837955119,2.954403773,3.158993485
DE-Seh,LightGBM,0.632656387,0.611800363,0.620069546,0.619657427,0.629517032,0.627171576,11.62579232,11.42779629,11.44759192,11.44614354,11.46473389,11.38031096,0.144647486,0.14218403,0.142430326,0.142412306,0.142643606,0.14159322,8.085735144,7.966304694,7.99449834,7.992037218,7.931038546,7.908744875
,BiLSTM,0.622592235,0.619716446,0.611984664,0.628243021,0.601988406,0.614115706,11.46647084,11.47635863,11.5026908,11.49392664,11.52831102,11.49331717,0.142665217,0.14278824,0.143115864,0.143006821,0.143434629,0.142999238,7.89970887,7.943489052,7.922966884,7.876600241,8.029936698,7.903121106
,StackLSTM,0.635689172,0.600343391,0.645200914,0.608698914,0.599154273,0.568237513,11.52528155,11.44423512,11.40203063,11.38379392,11.41382536,11.42892978,0.143396937,0.142388561,0.141863455,0.141636555,0.142010205,0.142198133,7.910925601,8.034722606,7.770213714,7.834938286,7.879977794,7.998197954
,LSTM,0.628370055,0.620365471,0.604753199,0.596669426,0.560102763,0.576292553,11.47723969,11.50687464,11.49761045,11.48398734,11.91279036,11.58827385,0.142799202,0.143167919,0.143052654,0.142883156,0.148218301,0.144180684,7.8841434,7.925063575,7.975296092,7.99573555,8.367806699,7.992563543
,RF,0.63615264,0.616572102,0.61267789,0.631697435,0.630430057,0.629846746,11.93158352,11.81739259,11.89806172,11.70136425,11.7619875,11.73853519,0.148452124,0.147031367,0.148035048,0.145587748,0.146342019,0.146050227,8.371336532,8.364846807,8.396632895,8.247278202,8.251190516,8.277818857
,SVM,0.571651595,0.573490062,0.567871217,0.578337567,0.581035916,0.590744287,11.78392902,11.64312043,11.7027938,11.67837824,11.69147047,11.61914748,0.146615015,0.144863082,0.145605535,0.145301757,0.14546465,0.144564812,8.399104074,8.242808675,8.256632487,8.177702338,8.187324652,8.116389691
,XGB,0.63955328,0.58763951,0.562897,0.570379699,0.598797095,0.556467243,12.46352765,12.41228917,12.5974993,12.26505013,12.2151794,12.76155767,0.155070545,0.154433038,0.156737413,0.152601098,0.151980609,0.158778618,8.767727084,8.916154141,9.062878069,8.669958055,8.704461653,9.025467157
FI-Jok,LightGBM,0.860144455,0.853825657,0.865067476,0.867165175,0.866354464,0.867665238,7.031407478,7.103767136,6.756291214,6.653970039,6.681532747,6.677109461,0.107143709,0.108246316,0.102951521,0.101392364,0.101812361,0.10174496,4.662184544,4.789521921,4.40260359,4.364236435,4.327196108,4.266447641
