IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual
0.002097115,-0.000525517,0.015085087,0.001676977,0.067261788,0.000143207,-0.007183844,-0.006118828,0.00695355,-0.000837701,0.001204117,0.015093629,0.047511581,0.378638839
-0.002134978,1.86E-05,0.095094736,0.028784149,0.068366837,-0.000418247,-0.007617358,-0.006227895,0.006726451,-0.000871925,0.001125537,0.014996538,0.047512125,0.37864542
0.036640759,0.004127655,0.145604018,0.051562586,0.061629248,-0.000923064,-0.008024073,-0.006318784,0.006497422,-0.000906738,0.001046986,0.014899343,0.047512645,0.378651997
0.032674335,0.006713735,0.164654787,0.061698075,0.047144851,-0.001356759,-0.008401961,-0.006393928,0.006266772,-0.000942128,0.000968466,0.014802042,0.047513142,0.378658571
0.01747998,0.006227255,0.140424194,0.054239573,0.026707433,-0.001703198,-0.0087497,-0.006455626,0.006034797,-0.000978085,0.000889983,0.014704638,0.047513614,0.378665141
0.009005255,0.001591989,0.09471227,0.030033107,0.003759861,-0.001922158,-0.00906611,-0.00650587,0.005801816,-0.001014601,0.00081154,0.01460713,0.047514063,0.378671709
0.01270844,0.002125395,0.004956287,-0.000637518,-0.018146239,-0.002067957,-0.009343533,-0.006546817,0.005568191,-0.00105167,0.000733142,0.01450952,0.047514488,0.378678273
-0.022144641,2.18E-05,-0.084873655,-0.028486557,-0.036616807,-0.002260437,-0.009569798,-0.006581289,0.005334301,-0.001089286,0.000654793,0.014411807,0.047514889,0.378684834
-0.068915583,-0.005191262,-0.143038573,-0.054844616,-0.051135755,-0.002599569,-0.009732979,-0.006611895,0.00510053,-0.001127446,0.000576498,0.014313993,0.047515266,0.378691391
-0.03227788,-0.002265974,-0.168434782,-0.063415822,-0.061618091,-0.003151282,-0.009824897,-0.006640293,0.004867263,-0.001166146,0.000498261,0.014216078,0.04751562,0.378697946
-0.024855064,-0.001020147,-0.135688397,-0.05320562,-0.067038505,-0.003869258,-0.009844058,-0.006667034,0.004634871,-0.001205385,0.000420086,0.014118063,0.04751595,0.378704497
-0.012088338,8.68E-06,-0.079562082,-0.032360886,-0.065619493,-0.004642702,-0.009790553,-0.006692398,0.004403703,-0.001245163,0.000341979,0.014019949,0.047516257,0.378711044
0.004514128,0.000893447,-0.01186714,-0.013196202,-0.056941079,-0.005330711,-0.009664396,-0.006716401,0.004174028,-0.001285481,0.000263942,0.013921735,0.04751654,0.378717589
