IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual
-0.10946711,-0.016640807,-0.3263812,-0.046072163,-0.033300713,-0.0023315707,0.043784246,-0.00412497,0.0057079783,-0.0015460991,0.039876364,-0.014573316,-0.04035306,1.3565061
-0.23127912,-0.025093617,-0.48172566,-0.07158736,-0.026947964,0.0020166691,0.046789758,-0.00590072,0.0055247447,-0.0012394849,0.039761655,-0.014710721,-0.040362787,1.3565112
-0.26864552,-0.036460757,-0.51744366,-0.07355608,-0.019454377,0.00698496,0.049461395,-0.00763974,0.0053321184,-0.0009330797,0.0396463,-0.014848183,-0.04037251,1.3565165
-0.331905,-0.028976489,-0.43753067,-0.047763396,-0.009911483,0.012426928,0.05176511,-0.009339575,0.005130916,-0.00062693586,0.03953029,-0.014985703,-0.040382236,1.3565217
-0.123341285,-0.0056339838,-0.25475132,-0.009983239,0.002015037,0.0183492,0.05369283,-0.01099922,0.004922045,-0.0003215934,0.039413657,-0.015123287,-0.040391963,1.356527
0.130343,0.014815884,0.023498164,0.020280642,0.015734505,0.024697898,0.055218592,-0.012617939,0.0047063692,-1.9247576e-05,0.03929635,-0.015260941,-0.040401686,1.356532
0.29501155,0.024048388,0.30174482,0.048121396,0.030172726,0.031262632,0.05631719,-0.014195551,0.0044846334,0.0002827498,0.039178427,-0.015398648,-0.040411416,1.3565372
0.37499508,0.036034618,0.46397933,0.07687045,0.041141905,0.037773106,0.05694518,-0.01573337,0.004257887,0.0005843639,0.039059844,-0.015536412,-0.040421143,1.3565425
0.41428232,0.041953396,0.51396716,0.092329375,0.04559487,0.043978997,0.057043955,-0.017233172,0.0040268986,0.00088554237,0.038940657,-0.01567424,-0.040430874,1.3565477
0.3425617,0.03854207,0.44512913,0.08608221,0.043766454,0.049840115,0.056549054,-0.018697213,0.0037927642,0.0011862854,0.03882082,-0.015812127,-0.040440608,1.3565528
0.17041871,0.022957483,0.30714843,0.041548263,0.038184583,0.055400774,0.0554055,-0.020127969,0.003556299,0.001486558,0.038700372,-0.015950076,-0.040450346,1.3565581
0.07671066,0.003739978,0.079697296,-0.017520534,0.031911254,0.06019504,0.053578366,-0.02152674,0.003318412,0.0017863602,0.03857931,-0.016088096,-0.040460076,1.3565633
-0.059738524,0.004512681,-0.099480666,-0.05678635,0.026329093,0.06369444,0.051047184,-0.022894833,0.003079966,0.0020856396,0.038457625,-0.016226174,-0.040469814,1.3565686
-0.125651,-0.004461433,-0.33373013,-0.080078,0.021094272,0.06559598,0.047821984,-0.024233574,0.0028419627,0.0023844314,0.038335327,-0.01636431,-0.040479552,1.3565737
-0.26951665,-0.023669848,-0.44749174,-0.10369698,0.015308709,0.06576933,0.043941855,-0.025549054,0.0026054042,0.0026826307,0.038212392,-0.016502498,-0.04048929,1.356579
-0.30616027,-0.035597093,-0.45950183,-0.10151529,0.008895407,0.064225614,0.039469417,-0.026836324,0.0023715028,0.0029802201,0.03808888,-0.016640756,-0.040499028,1.3565842
