Date,Time (GMT),Wind Speed (m/s),Wind Dir (deg),Wind Gust (m/s),Air Temp (°C),Baro (mb),Water Level(m)
2022/1/9,17:00,1.3,174,1.5,16.7,1014,0.265
2022/1/9,18:00,1.7,184,2.3,17.5,1014.4,0.309
2022/1/9,19:00,1.5,182,1.9,21.5,1014.7,0.347
2022/1/9,20:00,0.9,233,2.1,24.5,1014.9,0.37
2022/1/9,21:00,2.5,17,2.8,24.3,1014.8,0.385
2022/1/9,22:00,3.8,35,4.7,23.7,1014.3,0.349
2022/1/9,23:00,3.6,20,4.2,23.8,1013.4,0.345
2022/1/10,0:00,3.5,34,4.1,23.9,1012.7,0.313
2022/1/10,1:00,3.2,23,3.7,24.1,1012.5,0.364
2022/1/10,2:00,2.3,352,2.9,25,1012.8,0.388
2022/1/10,3:00,1.7,344,2.6,24.7,1013,0.38
2022/1/10,4:00,2.3,328,2.5,24,1013.5,0.473
2022/1/10,5:00,2.2,293,2.6,22.7,1014,0.528
2022/1/10,6:00,1.1,245,1.3,22.3,1014.6,0.517
2022/1/10,7:00,0.3,132,1.4,22.6,1015,0.606
2022/1/10,8:00,0,205,1,21.6,1015.2,0.632
2022/1/10,9:00,1.2,177,2,21.4,1015.1,0.523
2022/1/10,10:00,0.5,161,1.4,20.7,1015,0.46
2022/1/10,11:00,1.1,256,2,21.4,1014.7,0.342
2022/1/10,12:00,0.2,179,0.3,21.7,1014.2,0.374
2022/1/10,13:00,1.4,183,1.9,21.2,1014,0.233
2022/1/10,14:00,0.2,146,1.1,22.3,1014.1,0.154
2022/1/10,15:00,1,234,1.6,22.1,1014.7,0.155
2022/1/10,16:00,3.9,198,4.8,22.9,1014.8,0.216
2022/1/10,17:00,4.4,214,5.8,23.5,1015.2,0.265
2022/1/10,18:00,6.2,209,7.4,23.8,1015.8,0.272
2022/1/10,19:00,5.8,209,7.5,24.5,1016.3,0.344
2022/1/10,20:00,5.5,216,8.8,25.3,1016.6,0.432
2022/1/10,21:00,6.3,192,8.8,24.9,1016.3,0.44
2022/1/10,22:00,7.7,199,9.5,24.9,1015.7,0.501
2022/1/10,23:00,6.1,192,8.9,25.2,1015,0.515
